Req. No. | requirement | subject | s-tag | s-ner | s-type | verb | v-tag | vcat | vprocess | object | o-tag | o-ner | o-type | label 
138|The API shall allow external tools to be used for file format identification.|api|NN|O||shall allow|VB|1|0|tool|NN|O|artifact|-1
138|The API shall allow external tools to be used for file format identification.|api|NN|O||shall allow|VB|1|0|external tool|NN|O|cognition|-1
138|The API shall allow external tools to be used for file format identification.|api|NN|O||shall allow|VB|1|0|use for file format identification|NN|O|act|-1
138|The API shall allow external tools to be used for file format identification.|external tool|NN|O|cognition|be|VB|0|0|use|NN|O|act|-1
139|The ARC to WARC migration shall run on multiple machines.|arc|NN|O|phenomenon|shall run on|IN|0|0|machine|NN|O|artifact|-1
139|The ARC to WARC migration shall run on multiple machines.|arc|NN|O|phenomenon|shall run on|IN|0|0|multiple machine|NN|O|cognition|-1
140|The system shall allow the user to turn logging during the migration on or off at any time.|system|NN|O|group|shall allow|VB|1|0|user|NN|O|person|-1
140|The system shall allow the user to turn logging during the migration on or off at any time.|user|NN|O|person|turn|NN|0|0|log|NN|O|substance|-1
141|The system shall use checkpoints during processing for managing atomic operations when possible.|system|NN|O|group|shall use|VB|1|0|checkpoint|NN|O|location|-1
142|The system shall be able to simulate the generation of useful reports from a blank conversion.|system|NN|O|group|simulate|VBP|1|1|generation of report from conversion|NN|O|group|-1
142|The system shall be able to simulate the generation of useful reports from a blank conversion.|system|NN|O|group|simulate|VBP|1|1|generation of report|NN|O|group|-1
142|The system shall be able to simulate the generation of useful reports from a blank conversion.|system|NN|O|group|simulate|VBP|1|1|generation of useful report from conversion|NN|O|group|-1
142|The system shall be able to simulate the generation of useful reports from a blank conversion.|system|NN|O|group|shall|MD|1|0|shall able|JJ|O||-1
142|The system shall be able to simulate the generation of useful reports from a blank conversion.|system|NN|O|group|simulate|VBP|1|1|generation of report from blank conversion|NN|O|group|-1
142|The system shall be able to simulate the generation of useful reports from a blank conversion.|system|NN|O|group|simulate|VBP|1|1|generation|NN|O|group|-1
142|The system shall be able to simulate the generation of useful reports from a blank conversion.|system|NN|O|group|simulate|VBP|1|1|generation of useful report|NN|O|group|-1
142|The system shall be able to simulate the generation of useful reports from a blank conversion.|system|NN|O|group|simulate|VBP|1|1|generation of useful report from blank conversion|NN|O|group|-1
143|The system shall find and report records with the same checksum.|system|NN|O|group|report|NN|0|0|record with checksum|NN|O|communication|-1
143|The system shall find and report records with the same checksum.|record|NN|O|communication|with|IN|1|0|same checksum|NN|O|person|-1
143|The system shall find and report records with the same checksum.|report|NN|O|communication|record with|IN|1|0|checksum|NN|O|cognition|-1
143|The system shall find and report records with the same checksum.|system|NN|O|group|report|NN|0|0|record|NN|O|communication|-1
143|The system shall find and report records with the same checksum.|report|NN|O|communication|record with|IN|1|0|same checksum|NN|O|person|-1
143|The system shall find and report records with the same checksum.|system|NN|O|group|report|NN|0|0|record with same checksum|NN|O|communication|-1
144|The system shall use a centralized database to compare processing records against processed records.|system|NN|O|group|compare|VB|0|0|processing record against process record|NN|O|process|-1
144|The system shall use a centralized database to compare processing records against processed records.|system|NN|O|group|compare|VB|0|0|processing record|NN|O|process|-1
144|The system shall use a centralized database to compare processing records against processed records.|system|NN|O|group|shall use|VB|1|0|database|NN|O|communication|-1
144|The system shall use a centralized database to compare processing records against processed records.|system|NN|O|group|shall use|VB|1|0|centralized database|NN|O|communication|-1
144|The system shall use a centralized database to compare processing records against processed records.|system|NN|O|group|compare|VB|0|0|processing record against record|NN|O|process|-1
145|The system shall validate the migration using metadata included in the files.|migration|NN|O|act|use|NN|1|0|metadata|NN|O|group|-1
145|The system shall validate the migration using metadata included in the files.|system|NN|O|group|shall validate|VB|1|1|migration|NN|O|act|-1
146|The system shall use payload checksum comparisons.|system|NN|O|group|shall use|VB|1|0|payload checksum comparison|NN|O|artifact|-1
147|The system shall provide sampling to quickly validate the conversions.|system|NN|O|group|shall provide|VB|1|1|sampling|NN|O|act|-1
147|The system shall provide sampling to quickly validate the conversions.|system|NN|O|group|quickly validate|VBP|1|1|conversion|NN|O|event|-1
147|The system shall provide sampling to quickly validate the conversions.|system|NN|O|group|validate|VBP|1|1|conversion|NN|O|event|-1
148|The system shall use Heritrixâ€™s arcreader to validate the conversion.|Heritrixâ € s|NNS|O|time|validate|VBP|1|1|conversion|NN|O|event|-1
148|The system shall use Heritrixâ€™s arcreader to validate the conversion.|Heritrixâ € ™ s|NNS|O|time|validate|VBP|1|1|conversion|NN|O|event|-1
149|The system shall allow reverse migration to validate checksums.|system|NN|O|group|shall allow|VB|1|0|reverse migration|NN|O|relation|-1
149|The system shall allow reverse migration to validate checksums.|system|NN|O|group|shall allow|VB|1|0|migration|NN|O|act|-1
149|The system shall allow reverse migration to validate checksums.|migration|NN|O|act|validate|VBP|1|1|checksum|NN|O|cognition|-1
149|The system shall allow reverse migration to validate checksums.|reverse migration|NN|O|relation|validate|VBP|1|1|checksum|NN|O|cognition|-1
150|The system shall allow to repackage WARC files by filtering records based on URL.|record|NN|O|communication|base on|IN|1|0|url|NN|O|communication|-1
150|The system shall allow to repackage WARC files by filtering records based on URL.|system|NN|O|group|repackage|VB|1|0|WARC file|NN|O|communication|-1
151|The system shall allow to repackage WARC files by filtering records based on MIME-Types.|record|NN|O|communication|base on|IN|1|0|mime-type|JJ|O|person|-1
151|The system shall allow to repackage WARC files by filtering records based on MIME-Types.|system|NN|O|group|repackage|VB|1|0|WARC file|NN|O|communication|-1
152|The system shall allow to repackage WARC files by filtering records based on size.|system|NN|O|group|repackage|VB|1|0|WARC file|NN|O|communication|-1
152|The system shall allow to repackage WARC files by filtering records based on size.|record|NN|O|communication|base on|IN|1|0|size|NN|O|attribute|-1
153|The system shall allow to repackage WARC files by filtering records based on timestamp.|record|NN|O|communication|base on|IN|1|0|timestamp|NN|O||-1
153|The system shall allow to repackage WARC files by filtering records based on timestamp.|system|NN|O|group|repackage|VB|1|0|WARC file|NN|O|communication|-1
154|The system shall allow to repackage WARC files by filtering on any field in the WARC specification.|system|NN|O|group|repackage warc file|NN|1|0|filter on field in WARC specification|NN|O|artifact|-1
154|The system shall allow to repackage WARC files by filtering on any field in the WARC specification.|system|NN|O|group|repackage warc file|NN|1|0|filter on field|NN|O|artifact|-1
154|The system shall allow to repackage WARC files by filtering on any field in the WARC specification.|system|NN|O|group|repackage|VB|1|0|WARC file|NN|O|communication|-1
155|Repackaging shall allow pre and post-record, file and job operations.|repackage|VB|O||shall allow|VB|1|0|pre operation|NN|O|act|-1
155|Repackaging shall allow pre and post-record, file and job operations.|repackage|VB|O||shall allow|VB|1|0|operation|NN|O|act|-1
156|Pre-operation can prevent a file or record being processed by returning value.|file|NN|O|communication|be|VB|0|0|process|NN|O|act|-1
156|Pre-operation can prevent a file or record being processed by returning value.|record|NN|O|communication|return|NN|0|0|value|NN|O|cognition|-1
157|The system shall include a user defined metadata record in each repackaged WARC.|define metadata record|NN|O|group|in|IN|1|0|repackage WARC|NN|O||-1
157|The system shall include a user defined metadata record in each repackaged WARC.|system|NN|O|group|shall include|VB|1|1|user|NN|O|person|-1
158|The system shall provide tools to build reports from WARC files|system|NN|O|group|build|VB|0|0|report|NN|O|communication|-1
158|The system shall provide tools to build reports from WARC files|system|NN|O|group|build|VB|0|0|report from WARC file|NN|O|communication|-1
158|The system shall provide tools to build reports from WARC files|system|NN|O|group|shall provide|VB|1|1|tool|NN|O|artifact|-1
159|The system shall allow the user to export summaries in various formats.|system|NN|O|group|shall allow|VB|1|0|user|NN|O|person|-1
159|The system shall allow the user to export summaries in various formats.|user|NN|O|person|export|NN|1|1|summary|NN|O|communication|-1
159|The system shall allow the user to export summaries in various formats.|user|NN|O|person|export summary in|IN|1|0|format|NN|O|communication|-1
159|The system shall allow the user to export summaries in various formats.|user|NN|O|person|export summary in|IN|1|0|various format|NN|O|communication|-1
160|The WARC browser shall display aggregated WARCs summaries in its UI.|WARC browser|NN|O|person|shall display|VB|0|0|warc summary|NN|O|communication|-1
160|The WARC browser shall display aggregated WARCs summaries in its UI.|WARC browser|NN|O|person|shall display|VB|0|0|aggregate warc summary|NN|O|group|-1
160|The WARC browser shall display aggregated WARCs summaries in its UI.|WARC browser|NN|O|person|shall display warc summary in|IN|0|0|its UI|NNP|O|cognition|-1
161|The WARC browser shall display a manifest of WARC files and their locations.|WARC browser|NN|O|person|shall display|VB|0|0|manifest|JJ|O|communication|-1
161|The WARC browser shall display a manifest of WARC files and their locations.|WARC browser|NNP|O|person|shall display|VB|0|0|manifest of WARC file|NN|O|communication|-1
162|The system shall compare WARC sets based on defined criteria.|system|NN|O|group|shall compare|VB|0|0|WARC set|NN|O|group|-1
163|The system shall draw difference graphs between WARC collections.|system|NN|O|group|shall draw difference graph between|IN|0|0|WARC collection|NN|O|group|-1
163|The system shall draw difference graphs between WARC collections.|system|NN|O|group|shall draw|VB|0|0|difference graph|NN|O|attribute|-1
164|The system shall allow the user to view crawls deltas.|system|NN|O|group|shall allow|VB|1|0|user|NN|O|person|-1
164|The system shall allow the user to view crawls deltas.|system|NN|O|group|shall allow|VB|1|0|view|NN|O|cognition|-1
166|The system shall integrate a proxy mode inside the WARC browser.|system|NN|O|group|shall integrate|VB|0|1|proxy mode inside WARC browser|NN|O|person|-1
166|The system shall integrate a proxy mode inside the WARC browser.|system|NN|O|group|shall integrate|VB|0|1|proxy mode|NN|O|person|-1
167|The system shall integrate the full-text search module with the WARC browser.|system|NN|O|group|shall integrate search module with|IN|0|1|WARC browser|NN|O|person|-1
167|The system shall integrate the full-text search module with the WARC browser.|system|NN|O|group|shall integrate|VB|0|1|full-text search module|NN|O|time|-1
167|The system shall integrate the full-text search module with the WARC browser.|system|NN|O|group|shall integrate|VB|0|1|search module|NN|O|act|-1
168|The system shall allow the user to parse transformation language program or a target file |user|NN|O|person|parse|VB|1|0|target file|NN|O|communication|-1
168|The system shall allow the user to parse transformation language program or a target file |user|NN|O|person|parse|NN|1|0|transformation language program|NN|O|event|-1
168|The system shall allow the user to parse transformation language program or a target file |system|NN|O|group|shall allow|VB|1|0|user|NN|O|person|-1
169|The system shall allow the file to be parsed.|file|NN|O|communication|be|VB|0|0|parse|VB|O||-1
169|The system shall allow the file to be parsed.|system|NN|O|group|shall allow|VB|1|0|parse|VB|O||-1
169|The system shall allow the file to be parsed.|system|NN|O|group|shall allow|VB|1|0|file|NN|O|communication|-1
170|The system shall accept the parser file as the inputs to the HATS-SML.|system|NN|O|group|shall accept parser file as|IN|1|1|input|NN|O|communication|-1
170|The system shall accept the parser file as the inputs to the HATS-SML.|system|NN|O|group|shall accept|VB|1|1|parser file|NN|O|communication|-1
170|The system shall accept the parser file as the inputs to the HATS-SML.|system|NN|O|group|shall accept parser file as|IN|1|1|input to hats-sml|NN|O|communication|-1
171|The system shall allow the HATS-SML to generate SDT.|system|NN|O|group|shall allow|VB|1|0|hats-sml|NN|O|artifact|-1
171|The system shall allow the HATS-SML to generate SDT.|hats-sml|NN|O|artifact|generate|VBP|1|1|SDT|NN|O||-1
172|The system shall require the application to be saved.|system|NN|O|group|shall require|VB|1|0|application|NN|O|communication|-1
172|The system shall require the application to be saved.|application|NN|O|communication|be|VB|0|0|save|IN|O|act|-1
173|The system shall allow the user to request the application of a transformation language program to a target file.|system|NN|O|group|shall allow|VB|1|0|user|NN|O|person|-1
173|The system shall allow the user to request the application of a transformation language program to a target file.|user|NN|O|person|request|NN|1|0|application of transformation language program to target file|NN|O|communication|-1
173|The system shall allow the user to request the application of a transformation language program to a target file.|user|NN|O|person|request|NN|1|0|application|NN|O|communication|-1
173|The system shall allow the user to request the application of a transformation language program to a target file.|user|NN|O|person|request|NN|1|0|application of transformation language program|NN|O|communication|-1
174|The system shall require the HATS-SML to apply transformation language program to the target.|hats-sml|NN|O|artifact|apply|VB|0|1|transformation language program|NN|O|event|-1
174|The system shall require the HATS-SML to apply transformation language program to the target.|hats-sml|NN|O|artifact|apply transformation language program to|TO|1|0|target|NN|O|communication|-1
174|The system shall require the HATS-SML to apply transformation language program to the target.|system|NN|O|group|shall require|VB|1|0|hats-sml|NN|O|artifact|-1
175|The system allows the user to select an application.|system|NN|O|group|allow|VBP|1|0|user|NN|O|person|-1
175|The system allows the user to select an application.|user|NN|O|person|select|JJ|1|1|application|NN|O|communication|-1
176|The system shall request a filename for the user to perform some operation.|system|NN|O|group|shall request|VB|1|0|filename|NN|O|communication|-1
176|The system shall request a filename for the user to perform some operation.|system|NN|O|group|perform|VB|0|0|operation|NN|O|act|-1
176|The system shall request a filename for the user to perform some operation.|system|NN|O|group|shall request|VB|1|0|filename for user|NN|O|communication|-1
177|The system requires to present a list of filenames in the current selected application.|system|NN|O|group|present|JJ|0|1|list|NN|O|communication|-1
177|The system requires to present a list of filenames in the current selected application.|system|NN|O|group|present|JJ|0|1|list of filename in current application|NN|O|communication|-1
177|The system requires to present a list of filenames in the current selected application.|system|NN|O|group|present|JJ|0|1|list of filename|NN|O|communication|-1
177|The system requires to present a list of filenames in the current selected application.|system|NN|O|group|present|JJ|0|1|list in application|NN|O|communication|-1
177|The system requires to present a list of filenames in the current selected application.|system|NN|O|group|present|JJ|0|1|list of filename in application|NN|O|communication|-1
177|The system requires to present a list of filenames in the current selected application.|system|NN|O|group|present|JJ|0|1|list of filename in select application|NN|O|communication|-1
177|The system requires to present a list of filenames in the current selected application.|system|NN|O|group|present|JJ|0|1|list in current select application|NN|O|communication|-1
177|The system requires to present a list of filenames in the current selected application.|system|NN|O|group|present|JJ|0|1|list of filename in current select application|NN|O|communication|-1
177|The system requires to present a list of filenames in the current selected application.|system|NN|O|group|present|JJ|0|1|list in select application|NN|O|communication|-1
177|The system requires to present a list of filenames in the current selected application.|system|NN|O|group|present|JJ|0|1|list in current application|NN|O|communication|-1
177|The system requires to present a list of filenames in the current selected application.|list|NN|O|communication|in|IN|1|0|current select application|NN|O|phenomenon|-1
178|The system allows the user to select one filename in the application.|system|NN|O|group|allow|VBP|1|0|user|NN|O|person|-1
178|The system allows the user to select one filename in the application.|one filename|NN|O|quantity|in|IN|1|0|application|NN|O|communication|-1
178|The system allows the user to select one filename in the application.|user|NN|O|person|select|JJ|1|1|one filename in application|NN|O|quantity|-1
178|The system allows the user to select one filename in the application.|user|NN|O|person|select|JJ|1|1|one filename|NN|O|quantity|-1
179|The system shall require the user to perform some operation on a selected applicaton.|user|NN|O|person|perform operation on|IN|1|0|applicaton|NN|O||-1
179|The system shall require the user to perform some operation on a selected applicaton.|user|NN|O|person|perform operation on|IN|1|0|select applicaton|NN|O||-1
179|The system shall require the user to perform some operation on a selected applicaton.|user|NN|O|person|perform|VB|0|0|operation|NN|O|act|-1
179|The system shall require the user to perform some operation on a selected applicaton.|system|NN|O|group|shall require|VB|1|0|user|NN|O|person|-1
180|The system shall include the operations (open, close, save, save as, create new, edit files within application, configure he application).|system|NN|O|group|shall include|VB|1|1|operation|NN|O|act|-1
181|The system shall allow the user to configure application.|user|NN|O|person|configure|NN|1|1|application|NN|O|communication|-1
181|The system shall allow the user to configure application.|system|NN|O|group|shall allow|VB|1|0|user|NN|O|person|-1
182|The system shall allow the user to select an application.|system|NN|O|group|shall allow|VB|1|0|user|NN|O|person|-1
182|The system shall allow the user to select an application.|user|NN|O|person|select|JJ|1|1|application|NN|O|communication|-1
183|The system requires the user to configure the settings of the selected application.|user|NN|O|person|configure|NN|1|1|setting|NN|O|location|-1
183|The system requires the user to configure the settings of the selected application.|user|NN|O|person|configure|NN|1|1|setting of select application|NN|O|location|-1
183|The system requires the user to configure the settings of the selected application.|user|NN|O|person|configure|NN|1|1|setting of application|NN|O|location|-1
183|The system requires the user to configure the settings of the selected application.|system|NN|O|group|require|VBP|1|0|user|NN|O|person|-1
184|The system shall include the settings of an application (available editors, SDT display colors, SDT display shapes, default number of levels to expand, file associations between files and editors, file associations between target files and transformation language program).|system|NN|O|group|shall include|VB|1|1|setting|VBG|O|location|-1
184|The system shall include the settings of an application (available editors, SDT display colors, SDT display shapes, default number of levels to expand, file associations between files and editors, file associations between target files and transformation language program).|SDT|NN|ORGANIZATION||display|NN|0|0|color|NN|O|attribute|-1
184|The system shall include the settings of an application (available editors, SDT display colors, SDT display shapes, default number of levels to expand, file associations between files and editors, file associations between target files and transformation language program).|SDT|NNP|ORGANIZATION||file|NN|1|0|association between file|IN|O|group|-1
184|The system shall include the settings of an application (available editors, SDT display colors, SDT display shapes, default number of levels to expand, file associations between files and editors, file associations between target files and transformation language program).|system|NN|O|group|shall include|VB|1|1|setting of application|NN|O|location|-1
184|The system shall include the settings of an application (available editors, SDT display colors, SDT display shapes, default number of levels to expand, file associations between files and editors, file associations between target files and transformation language program).|SDT|NN|ORGANIZATION||display|NN|0|0|shape|NN|O|attribute|-1
184|The system shall include the settings of an application (available editors, SDT display colors, SDT display shapes, default number of levels to expand, file associations between files and editors, file associations between target files and transformation language program).|SDT|NNP|ORGANIZATION||file|NN|1|0|association|NN|O|group|-1
184|The system shall include the settings of an application (available editors, SDT display colors, SDT display shapes, default number of levels to expand, file associations between files and editors, file associations between target files and transformation language program).|SDT|NN|ORGANIZATION||display|NN|0|0|file association|NN|O|communication|-1
184|The system shall include the settings of an application (available editors, SDT display colors, SDT display shapes, default number of levels to expand, file associations between files and editors, file associations between target files and transformation language program).|SDT|NN|ORGANIZATION||display|NN|0|0|file association between target file|NN|O|communication|-1
185|The system shall allow the user to display and manipulate a graphical representation of SDT.|system|NN|O|group|shall allow|VB|1|0|user|NN|O|person|-1
185|The system shall allow the user to display and manipulate a graphical representation of SDT.|user|NN|O|person|display|NN|0|0|representation|NN|O|cognition|-1
185|The system shall allow the user to display and manipulate a graphical representation of SDT.|user|NN|O|person|display|NN|0|0|representation of SDT|NNP|O|cognition|-1
185|The system shall allow the user to display and manipulate a graphical representation of SDT.|user|NN|O|person|display|NN|0|0|graphical representation|NN|O|cognition|-1
185|The system shall allow the user to display and manipulate a graphical representation of SDT.|user|NN|O|person|display|NN|0|0|graphical representation of SDT|NNP|O|cognition|-1
186|The system shall let the user select and unselect displaying nodes.|system|NN|O|group|shall let|VB|1|0|user select|JJ|O|person|-1
187|The system shall include a navigation window to navigate through the display.|system|NN|O|group|shall include|VB|1|1|navigation window navigate through display|NN|O|act|-1
187|The system shall include a navigation window to navigate through the display.|system|NN|O|group|shall include|VB|1|1|navigation window navigate|VBP|O|act|-1
188|The system shall include the operations for navigation (scrolling, expanding, collapsing displayed nodes, hiding displayed nodes, searching for SDT sub-trees, finding smallest ell-formed trees).|system|NN|O|group|shall include|VB|1|1|operation|NN|O|act|-1
188|The system shall include the operations for navigation (scrolling, expanding, collapsing displayed nodes, hiding displayed nodes, searching for SDT sub-trees, finding smallest ell-formed trees).|system|NN|O|group|shall include|VB|1|1|operation for navigation|NN|O|act|-1
189|The system shall display the pretty printed text transformation output.|system|NN|O|group|shall display|VB|0|0|text transformation output|NN|O|communication|-1
189|The system shall display the pretty printed text transformation output.|system|NN|O|group|shall display|VB|0|0|pretty print text transformation output|NN|O|communication|-1
189|The system shall display the pretty printed text transformation output.|system|NN|O|group|shall display|VB|0|0|pretty text transformation output|NN|O|communication|-1
189|The system shall display the pretty printed text transformation output.|system|NN|O|group|shall display|VB|0|0|print text transformation output|NN|O|communication|-1
190|The system shall allow the user to display and manipulate a text represented result of  applying a transformation language program to a target file.|system|NN|O|group|shall allow|VB|1|0|user|NN|O|person|-1
190|The system shall allow the user to display and manipulate a text represented result of  applying a transformation language program to a target file.|result|NN|O|phenomenon|apply transformation language program to|TO|1|0|target file|NN|O|communication|-1
190|The system shall allow the user to display and manipulate a text represented result of  applying a transformation language program to a target file.|result|NN|O|phenomenon|apply|VB|0|1|transformation language program|NN|O|event|-1
190|The system shall allow the user to display and manipulate a text represented result of  applying a transformation language program to a target file.|user|NN|O|person|display|NN|0|0|text|NN|O|communication|-1
191|The system shall include manipulation of text by selecting text and searchign for ub-strings.|system|NN|O|group|shall include|VB|1|1|manipulation of text|NN|O|act|-1
191|The system shall include manipulation of text by selecting text and searchign for ub-strings.|system|NN|O|group|shall include|VB|1|1|manipulation|NN|O|act|-1
191|The system shall include manipulation of text by selecting text and searchign for ub-strings.|system|NN|O|group|select|JJ|1|1|text|NN|O|communication|-1
191|The system shall include manipulation of text by selecting text and searchign for ub-strings.|system|NN|O|group|select searchign for|IN|1|0|ub-string|JJ|O|artifact|-1
191|The system shall include manipulation of text by selecting text and searchign for ub-strings.|system|NN|O|group|select text for|IN|1|0|ub-string|JJ|O|artifact|-1
191|The system shall include manipulation of text by selecting text and searchign for ub-strings.|system|NN|O|group|select|JJ|1|1|searchign|NN|O||-1
192|The system shall generate a pretty printed output.|system|NN|O|group|shall generate|VB|1|1|pretty print output|NN|O|communication|-1
192|The system shall generate a pretty printed output.|system|NN|O|group|shall generate|VB|1|1|output|NN|O|artifact|-1
192|The system shall generate a pretty printed output.|system|NN|O|group|shall generate|VB|1|1|print output|NN|O|communication|-1
193|The system allows the user to request the application of a pretty-print style file to a target SDT.|system|NN|O|group|allow|VBP|1|0|user|NN|O|person|-1
193|The system allows the user to request the application of a pretty-print style file to a target SDT.|user|NN|O|person|request|NN|1|0|application of style file|NN|O|communication|-1
193|The system allows the user to request the application of a pretty-print style file to a target SDT.|user|NN|O|person|request|NN|1|0|application of pretty-print style file to target SDT|NNP|O|communication|-1
193|The system allows the user to request the application of a pretty-print style file to a target SDT.|user|NN|O|person|request|NN|1|0|application of style file to target SDT|NNP|O|communication|-1
193|The system allows the user to request the application of a pretty-print style file to a target SDT.|user|NN|O|person|request|NN|1|0|application|NN|O|communication|-1
193|The system allows the user to request the application of a pretty-print style file to a target SDT.|user|NN|O|person|request|NN|1|0|application of pretty-print style file|NN|O|communication|-1
194|The system shall allow the user to pass necessary file names to HATS-SML.|system|NN|O|group|shall allow|VB|1|0|user|NN|O|person|-1
194|The system shall allow the user to pass necessary file names to HATS-SML.|user|NN|O|person|pass file name to|TO|1|0|hats-sml|NN|O|artifact|-1
194|The system shall allow the user to pass necessary file names to HATS-SML.|user|NN|O|person|pass|NN|0|0|necessary file name|NN|O|object|-1
194|The system shall allow the user to pass necessary file names to HATS-SML.|user|NN|O|person|pass|NN|0|0|file name|NN|O|communication|-1
195|The system shall allow HATS-SML to apply pretty-print style to the SDT.|system|NN|O|group|shall allow|VB|1|0|hats-sml|NN|O|artifact|-1
195|The system shall allow HATS-SML to apply pretty-print style to the SDT.|hats-sml|NN|O|artifact|apply|VB|0|1|style|NN|O|cognition|-1
195|The system shall allow HATS-SML to apply pretty-print style to the SDT.|hats-sml|NN|O|artifact|apply style to|TO|1|0|SDT|NNP|O||-1
195|The system shall allow HATS-SML to apply pretty-print style to the SDT.|hats-sml|NN|O|artifact|apply|VB|0|1|pretty-print style|NN|O|communication|-1
196|The system shall allow to generate the formatted text file.|system|NN|O|group|generate|VBP|1|1|format text file|NN|O|communication|-1
196|The system shall allow to generate the formatted text file.|system|NN|O|group|generate|VBP|1|1|text file|NN|O|communication|-1
197|The system shall have a Graphical User Interface (GUI) that allows the operator to view system status, issue commands to change device status, configure the system, export log data, and generate reports.|system|NN|O|group|have|VBP|1|0|GUI|NNP|PERSON|communication|-1
197|The system shall have a Graphical User Interface (GUI) that allows the operator to view system status, issue commands to change device status, configure the system, export log data, and generate reports.|issue|NN|O|cognition|change|NN|0|0|device status|NN|O|artifact|-1
197|The system shall have a Graphical User Interface (GUI) that allows the operator to view system status, issue commands to change device status, configure the system, export log data, and generate reports.|device status|NN|O|artifact|generate|VBP|1|1|report|NN|O|communication|-1
197|The system shall have a Graphical User Interface (GUI) that allows the operator to view system status, issue commands to change device status, configure the system, export log data, and generate reports.|system|NN|O|group|have|VBP|1|0|Graphical user Interface|NNP|O|communication|-1
197|The system shall have a Graphical User Interface (GUI) that allows the operator to view system status, issue commands to change device status, configure the system, export log data, and generate reports.|operator|NN|TITLE|relation|view|NN|1|0|system status|NN|O|group|-1
197|The system shall have a Graphical User Interface (GUI) that allows the operator to view system status, issue commands to change device status, configure the system, export log data, and generate reports.|device status|NN|O|artifact|configure|NN|1|1|system|NN|O|group|-1
198|The RLCS software shall have a logon screen for the GUI|rlcs software|NN|O|communication|shall have|VB|1|0|logon screen for GUI|NNP|O|artifact|-1
198|The RLCS software shall have a logon screen for the GUI|rlcs software|NN|O|communication|shall have|VB|1|0|logon screen|NN|O|artifact|-1
199|The logon screen shall request user name and corresponding password.|logon screen|NN|O|artifact|shall request|VB|1|0|password|NN|O|communication|-1
199|The logon screen shall request user name and corresponding password.|logon screen|NN|O|artifact|shall request|VB|1|0|user name|NN|O|person|-1
199|The logon screen shall request user name and corresponding password.|logon screen|NN|O|artifact|shall request|VB|1|0|corresponding password|NN|O|communication|-1
200|The logon screen shall activate command control for the user if the user requests it and has authorization.|logon screen|NN|O|artifact|shall activate command control for|IN|1|1|user|NN|O|person|-1
200|The logon screen shall activate command control for the user if the user requests it and has authorization.|logon screen|NN|O|artifact|shall activate|VB|1|1|command control|NN|O|communication|-1
200|The logon screen shall activate command control for the user if the user requests it and has authorization.|user|NN|O|person|have|VBP|1|0|authorization|NN|O|communication|-1
200|The logon screen shall activate command control for the user if the user requests it and has authorization.|user|NN|O|person|request|NN|1|0|it|PRP|O|cognition|-1
201|Command control shall only be from  specified workstations.|command control|NN|O|communication|shall from|MD|1|0|shall only specify workstation|NN|O|artifact|-1
201|Command control shall only be from  specified workstations.|command control|NN|O|communication|shall from|MD|1|0|shall only workstation|NN|O|artifact|-1
201|Command control shall only be from  specified workstations.|command control|NN|O|communication|shall from|MD|1|0|shall specify workstation|NN|O|artifact|-1
201|Command control shall only be from  specified workstations.|command control|NN|O|communication|shall from|MD|1|0|shall workstation|NN|O|artifact|-1
202|If command control is enabled by another user, and the logging in user is of higher security, the logging in user shall be requested to accept or deny command control.|log|NN|O|substance|shall|MD|1|0|shall request|VB|O|communication|-1
202|If command control is enabled by another user, and the logging in user is of higher security, the logging in user shall be requested to accept or deny command control.|log|NN|O|substance|be of|IN|1|0|higher security|NN|O|state|-1
202|If command control is enabled by another user, and the logging in user is of higher security, the logging in user shall be requested to accept or deny command control.|command control|NN|O|communication|be|VB|0|0|enable|VB|O||-1
202|If command control is enabled by another user, and the logging in user is of higher security, the logging in user shall be requested to accept or deny command control.|log|NN|O|substance|be of|IN|1|0|security|NN|O|state|-1
202|If command control is enabled by another user, and the logging in user is of higher security, the logging in user shall be requested to accept or deny command control.|log|NN|O|substance|accept|VB|1|1|command control|NN|O|communication|-1
203|If another user is logged in with command control and the new user takes command control, the other user shall notified|user|NN|O|person|shall notify|VB|1|1|log|NN|O|substance|-1
203|If another user is logged in with command control and the new user takes command control, the other user shall notified|other user|NN|O|person|shall notify|VB|1|1|log|NN|O|substance|-1
203|If another user is logged in with command control and the new user takes command control, the other user shall notified|other user|NN|O|person|shall notify|VB|1|1|log in with command control|NN|O|substance|-1
203|If another user is logged in with command control and the new user takes command control, the other user shall notified|user|NN|O|person|shall notify|VB|1|1|log in with command control|NN|O|substance|-1
204|The GUI shall indicate the current date and time, userâ€™s name, and workstation location name. The GUI shall also show other users currently logged in the other unitswithin the RLCS network.|GUI|NNP|O|communication|shall indicate|VB|1|1|time|NN|O|event|-1
204|The GUI shall indicate the current date and time, userâ€™s name, and workstation location name. The GUI shall also show other users currently logged in the other unitswithin the RLCS network.|GUI|NNP|O|communication|shall indicate|VB|1|1|date|NN|O|time|-1
204|The GUI shall indicate the current date and time, userâ€™s name, and workstation location name. The GUI shall also show other users currently logged in the other unitswithin the RLCS network.|GUI|NNP|O|communication|shall indicate|VB|1|1|userâ ™ s name|NN|O|person|-1
204|The GUI shall indicate the current date and time, userâ€™s name, and workstation location name. The GUI shall also show other users currently logged in the other unitswithin the RLCS network.|GUI|NNP|O|communication|shall indicate|VB|1|1|workstation location name|NN|O|artifact|-1
